cnt,drop rate,delay
1,10.00%,63.3
2,21.10%,62.7
3,23.80%,64.8
4,28.30%,66.8
5,4.50%,63
6,15.00%,63.7
7,10.70%,64.1
8,14.10%,64.9
9,16.30%,63.8
10,7.80%,61.8
11,17.80%,68.4
12,15.60%,62.4
13,17.00%,65.7
14,12.90%,64.9
15,20.10%,62.5
16,12.20%,64.2
17,14.90%,63
18,8.10%,62.5
19,13.70%,67.1
20,16.60%,66
21,19.10%,65.1
22,15.60%,63.6
23,16.80%,64.6
24,15.70%,65.1
1,21.90%,76.2
2,3.50%,60.5
3,5.50%,66.6
4,14.00%,64.5
5,7.10%,65.2
6,17.60%,64.2
7,8.30%,64.4
8,19.90%,62.5
9,12.90%,63.8
10,15.70%,66.8
11,8.20%,62.6
12,9.00%,65.2
13,14.20%,62.6
14,8.20%,70.5
15,18.90%,65.3
16,7.30%,61.3
17,12.70%,66
18,18.40%,61.6
19,12.70%,62.8
20,17.70%,70.6
21,21.50%,64.2
22,19.70%,64.2
23,8.40%,61.9
24,13.40%,68.7
25,11.70%,69.1
26,9.60%,62.4
27,7.40%,64.2
28,14.40%,64.3
avg,13.99%,64.73
