cnt,drop rate,delay,overhead
1,14.5%,74.5,3.63578
2,8.2%,69.0,3.232124
3,5.2%,77.5,3.34386
4,14.6%,84.4,3.374488
5,4.6%,71.0,3.356276
6,14.4%,68.3,3.807392
7,12.7%,92.5,3.279832
8,6.3%,84.9,3.36656
9,16.4%,73.5,3.138552
10,4.9%,70.6,3.445672
11,5.9%,72.1,3.004736
12,13.6%,73.4,3.337924
13,7.1%,88.3,3.755384
14,17.8%,68.0,3.34776
15,10.8%,83.0,3.590868
16,6.0%,86.4,3.3737
17,5.2%,69.5,3.151112
18,5.8%,71.5,3.103184
19,17.0%,71.4,3.444488
20,9.3%,72.5,3.381816
21,7.9%,73.0,3.301808
22,11.6%,73.3,3.632096
23,13.8%,90.5,3.285276
24,9.8%,73.9,3.530964
25,5.0%,70.8,3.364216
26,14.7%,71.5,3.360408
27,13.0%,69.0,3.710304
28,20.0%,106.1,3.292776
29,20.2%,71.3,3.337468
30,5.3%,70.8,3.203464
31,16.9%,74.8,3.345884
32,13.2%,70.2,3.507196
33,10.3%,70.4,3.380264
34,9.8%,71.4,3.28856
35,10.9%,69.0,3.489244
36,6.9%,88.3,3.25138
37,6.4%,69.8,2.96834
38,4.4%,65.5,3.671008
39,5.5%,72.5,3.42038
40,6.8%,68.8,3.54712
41,10.9%,72.0,3.471652
42,9.5%,68.2,3.242688
43,10.8%,72.9,3.347544
44,15.9%,72.5,3.039244
45,4.6%,72.0,3.278756
46,4.3%,69.0,3.115724
47,8.8%,71.3,3.579088
48,5.1%,71.5,3.30278
49,15.4%,79.0,3.145336
50,4.8%,69.3,3.391144
avg,10.06%,74.62,3.37
