cnt,drop rate,delay,overhead
1,15.1%,67.5,2.567152
2,6.5%,69.7,2.36964
3,13.6%,86.8,2.621872
4,4.9%,67.9,2.37928
5,4.5%,67.6,2.4132
6,14.5%,88.8,2.367068
7,9.7%,69.8,2.788648
8,4.7%,69.6,2.734104
9,11.2%,109.6,2.473236
10,10.6%,72.8,2.37128
11,9.8%,74.8,2.380416
12,4.8%,84.8,2.478488
13,5.4%,77.0,2.86166
14,10.7%,73.5,2.424904
15,14.9%,96.1,2.148808
16,11.7%,80.6,2.421824
17,10.0%,73.5,1.505152
18,5.1%,76.0,1.666092
19,9.9%,76.9,1.599004
20,7.3%,87.2,1.761412
21,6.5%,68.8,1.546744
22,10.2%,80.8,1.845312
23,15.7%,70.6,1.66242
24,16.4%,68.5,1.784948
25,4.9%,71.8,1.594724
26,11.0%,76.5,1.832492
27,4.6%,71.7,1.967228
28,7.8%,69.6,1.933624
29,7.3%,74.7,1.65724
30,8.2%,76.8,1.720012
31,14.9%,94.4,1.868096
32,16.1%,82.2,1.654824
33,9.6%,69.2,1.96876
34,9.4%,69.5,1.788944
35,8.2%,87.3,1.689
36,12.6%,82.9,1.724764
37,4.3%,67.1,1.725116
38,4.4%,69.3,1.694064
39,7.8%,69.5,1.811184
40,20.5%,81.5,1.695748
41,8.6%,97.2,1.67954
42,4.6%,68.5,1.53824
43,8.5%,78.0,1.670296
44,5.2%,71.9,1.880308
45,10.0%,71.2,1.67414
46,4.8%,71.5,1.747068
47,4.8%,72.1,1.849444
48,21.8%,88.6,1.761124
49,9.6%,69.9,1.73414
50,6.4%,71.2,1.700356
avg,9.39%,76.67,1.97
