cnt,drop rate,delay
1,15.90%,62.3
2,10.80%,63.8
3,10.50%,63.4
4,22.70%,62.8
5,7.70%,64.5
6,15.20%,61.9
7,18.70%,61.4
8,10.30%,62.6
9,17.30%,61.8
10,10.50%,60.5
11,19.60%,68
12,10.00%,61.7
13,20.40%,65.3
14,23.90%,63
15,20.30%,62.1
16,16.10%,61.1
17,7.50%,62.9
18,16.40%,62.5
19,14.20%,64.5
20,21.50%,64.3
21,17.60%,65.8
22,19.70%,63.9
1,7.20%,60.8
2,18.30%,65.8
3,11.80%,66.8
4,21.50%,63.1
5,19.80%,62.4
6,8.50%,61.9
7,10.60%,66.2
8,11.90%,65.5
9,6.10%,62.5
10,12.90%,64.7
11,7.50%,66.3
12,4.80%,61.4
13,19.20%,63.9
14,27.10%,70.7
15,10.00%,63.4
16,16.10%,63.2
17,12.60%,65
18,20.40%,63.2
19,17.90%,64.8
20,28.80%,65.6
21,10.20%,61.1
22,17.30%,66.8
23,12.30%,61.7
24,18.00%,62.6
25,21.00%,63.6
26,13.70%,63.6
27,3.40%,60.2
28,8.00%,62.5
avg,14.87%,63.59
