cnt,drop rate,delay
1,18.70%,63.1
2,4.00%,62.4
3,8.00%,66.6
4,13.90%,65.2
5,11.00%,65
6,16.50%,61.7
7,24.30%,61.6
8,8.30%,60.9
9,8.80%,64.1
10,19.80%,68.7
11,14.90%,65.8
12,15.40%,61.3
13,13.60%,67.1
14,24.10%,62.9
15,15.80%,61.4
16,21.00%,64
17,10.10%,62.7
18,7.40%,62.2
19,18.70%,61.7
20,12.20%,60.9
21,17.30%,62.9
22,13.30%,61.8
23,22.50%,63.2
24,24.90%,62.6
25,17.50%,62.8
26,14.70%,61.4
27,18.60%,64.2
28,13.90%,65
29,14.80%,61.8
30,5.10%,61.1
31,13.10%,61
32,20.20%,61.7
33,8.00%,60.8
34,12.30%,64.4
35,8.10%,61.3
36,5.50%,60.8
37,7.00%,62
38,19.40%,65.5
39,7.90%,64.8
40,15.40%,63.7
41,6.40%,60.9
42,22.50%,62.7
43,16.30%,61.2
44,15.40%,63.7
45,21.40%,64.8
46,16.00%,61.8
47,11.00%,62.6
48,22.40%,63.8
49,10.90%,61.5
50,20.60%,64.2
avg,14.58%,62.99
