cnt,drop rate,delay,overhead
1,5.0%,71.8,2.858472
2,8.7%,85.2,3.164416
3,9.2%,82.0,3.14948
4,4.9%,71.7,3.251932
5,4.8%,70.2,2.993088
6,15.7%,77.9,2.841316
7,10.8%,69.5,3.141468
8,4.7%,71.6,3.013656
9,9.0%,82.4,2.880636
10,6.7%,67.5,2.796672
11,5.9%,72.9,2.969984
12,4.7%,68.5,3.049324
13,5.2%,74.0,2.9443
14,16.2%,78.7,2.953
15,15.2%,71.6,2.901596
16,23.6%,98.1,2.889584
17,5.0%,69.6,2.964624
18,6.3%,74.8,2.715732
19,17.7%,69.7,3.296872
20,5.8%,75.0,3.075852
21,5.3%,72.8,3.057564
22,10.5%,72.5,3.188872
23,4.9%,69.3,2.758732
24,5.0%,71.7,3.105104
25,17.8%,77.2,3.089796
26,6.1%,85.2,3.30802
27,4.8%,70.1,2.673316
28,14.5%,94.2,2.928768
29,10.5%,69.8,3.089288
30,10.0%,71.2,3.25654
31,8.6%,85.3,3.168792
32,14.1%,71.1,2.809232
33,13.2%,71.1,3.217096
34,4.7%,68.8,2.858
35,14.8%,75.6,2.991108
36,12.8%,67.4,3.2193
37,12.8%,68.8,3.144816
38,9.4%,67.2,3.01534
39,4.8%,70.9,2.895776
40,4.8%,71.2,2.775512
41,9.8%,71.6,3.046276
42,11.1%,81.4,3.168648
43,9.0%,68.0,3.153036
44,15.1%,73.3,2.806024
45,12.2%,70.9,2.916636
46,8.7%,87.4,2.979124
47,10.0%,74.1,2.980996
48,7.0%,66.7,2.966612
49,13.1%,114.4,2.864932
50,13.7%,73.8,2.874424
avg,9.68%,75.11,3.00
