cnt,drop rate,delay,overhead
1,36.8%,176.1,0.229944
2,27.4%,125.7,0.26132
3,12.2%,89.8,0.255708
4,39.1%,247.7,0.230168
5,34.8%,195.7,0.248224
6,15.5%,117.9,0.248016
7,11.5%,99.0,0.263584
8,18.4%,121.2,0.255132
9,20.0%,101.6,0.233208
10,19.0%,96.4,0.2609
11,21.0%,133.5,0.254472
12,16.6%,166.7,0.262348
13,16.7%,158.3,0.224996
14,15.3%,131.9,0.254144
15,27.9%,180.2,0.214944
16,27.8%,98.3,0.24398
17,13.5%,126.1,0.24856
18,20.5%,91.0,0.24922
19,19.8%,158.3,0.262616
20,7.6%,108.4,0.250084
21,13.4%,98.6,0.230696
22,19.7%,108.1,0.271104
23,5.2%,74.5,0.239852
24,32.2%,135.6,0.255976
25,26.9%,101.1,0.239536
26,14.2%,108.0,0.23644
27,30.2%,139.8,0.241492
28,9.9%,103.3,0.260232
29,23.7%,151.6,0.257544
30,23.7%,123.4,0.240948
31,16.2%,94.2,0.253828
32,28.6%,95.3,0.252676
33,22.4%,145.8,0.259768
34,12.9%,100.9,0.255672
35,29.8%,224.2,0.243236
36,27.2%,118.2,0.249884
37,17.9%,131.4,0.241436
38,11.4%,96.5,0.257324
39,13.7%,91.9,0.24358
40,38.8%,225.3,0.239496
41,28.2%,160.9,0.234512
42,17.6%,115.1,0.250244
43,24.4%,218.9,0.255892
44,15.0%,109.7,0.235944
45,10.8%,117.8,0.24326
46,31.1%,160.2,0.232776
47,24.6%,126.8,0.246832
48,29.3%,122.4,0.248568
49,31.6%,200.8,0.254268
50,27.0%,159.4,0.25244
avg,21.58%,133.67,0.25
