cnt,drop rate,delay,overhead
1,5.3%,65.4,0.0
2,4.3%,65.2,0.0
3,4.0%,65.0,0.0
4,4.4%,65.1,0.0
5,4.2%,65.0,0.0
6,4.3%,65.0,0.0
7,4.6%,65.2,0.0
8,5.0%,65.3,0.0
9,3.8%,64.9,0.0
10,3.9%,64.9,0.0
11,4.0%,64.9,0.0
12,5.8%,65.6,0.0
13,4.1%,65.1,0.0
14,4.3%,65.2,0.0
15,4.1%,65.0,0.0
16,5.2%,65.4,0.0
17,4.5%,65.2,0.0
18,4.3%,65.1,0.0
19,4.5%,65.3,0.0
20,4.2%,65.1,0.0
21,4.3%,65.2,0.0
22,3.9%,65.0,0.0
23,4.5%,65.1,0.0
24,6.6%,65.8,0.0
25,4.8%,65.4,0.0
26,4.3%,65.1,0.0
27,4.3%,65.2,0.0
28,4.2%,65.0,0.0
29,5.0%,65.2,0.0
30,3.9%,64.9,0.0
31,4.1%,65.0,0.0
32,4.3%,65.1,0.0
33,4.4%,65.2,0.0
34,4.4%,65.0,0.0
35,4.4%,65.2,0.0
36,4.2%,65.0,0.0
37,4.5%,65.3,0.0
38,4.1%,65.1,0.0
39,4.9%,65.3,0.0
40,4.3%,65.1,0.0
41,4.1%,65.0,0.0
42,4.4%,65.2,0.0
43,4.4%,65.2,0.0
44,4.1%,65.0,0.0
45,4.3%,65.3,0.0
46,4.1%,65.0,0.0
47,4.3%,65.1,0.0
48,4.6%,65.3,0.0
49,4.5%,65.2,0.0
50,4.7%,65.1,0.0
avg,4.43%,65.15,0.00
