cnt,drop rate,delay,overhead
1,12.5%,71.3,3.806092
2,4.9%,71.2,3.707748
3,14.4%,75.6,4.16098
4,4.9%,70.8,4.2629
5,5.2%,68.8,3.601652
6,9.9%,79.4,4.125492
7,15.9%,74.1,3.7853
8,13.4%,66.1,4.1534
9,15.0%,88.4,4.064844
10,9.8%,74.7,4.266452
11,10.4%,74.6,3.500116
12,9.6%,70.7,3.549964
13,12.1%,82.1,3.840628
14,13.4%,72.0,3.803668
15,15.5%,78.1,4.013936
16,5.5%,72.8,3.591208
17,5.6%,81.9,3.533864
18,14.5%,88.5,4.081076
19,17.5%,66.3,3.510876
20,20.1%,82.3,3.622328
21,17.8%,70.0,3.935916
22,10.0%,76.2,3.550292
23,27.0%,70.5,4.242664
24,8.9%,84.2,3.35694
25,23.9%,74.9,3.882908
26,6.1%,72.6,4.072176
27,12.0%,91.0,4.342316
28,10.6%,68.4,3.65542
29,10.5%,68.7,3.978044
30,17.3%,67.4,3.659224
31,10.1%,70.2,3.918616
32,5.8%,71.9,4.482196
33,4.6%,68.0,3.869472
34,7.5%,66.6,3.84588
35,6.3%,69.5,4.030952
36,17.2%,76.5,3.639716
37,8.3%,85.6,4.0292
38,5.4%,71.8,3.7802
39,9.7%,74.0,3.626052
40,5.6%,80.3,4.158512
41,30.0%,74.2,4.24052
42,11.4%,73.7,4.063528
43,14.8%,69.5,3.93482
44,5.1%,70.8,3.830072
45,11.6%,71.0,3.492184
46,10.2%,73.4,3.893528
47,19.9%,74.4,4.087696
48,19.2%,80.1,3.708284
49,9.0%,70.2,3.763488
50,8.1%,82.4,3.91006
avg,11.88%,74.55,3.88
