cnt,drop rate,delay,overhead
1,4.6%,65.3,0.0
2,4.3%,65.0,0.0
3,4.5%,65.2,0.0
4,4.1%,65.0,0.0
5,4.2%,65.1,0.0
6,3.9%,64.9,0.0
7,4.5%,65.2,0.0
8,4.3%,65.1,0.0
9,4.0%,64.9,0.0
10,4.0%,64.9,0.0
11,4.3%,65.1,0.0
12,4.5%,65.3,0.0
13,4.7%,65.4,0.0
14,4.1%,65.0,0.0
15,4.3%,65.2,0.0
16,4.1%,65.0,0.0
17,4.2%,65.1,0.0
