cnt,drop rate,delay
1,10.00%,65.2
2,10.20%,62.2
3,20.10%,64.4
4,4.50%,64.6
5,20.30%,68.9
6,11.40%,62.5
7,18.00%,72.5
8,11.00%,63
9,10.80%,64.4
10,8.20%,63
11,11.20%,65.6
12,4.20%,62.4
13,14.30%,65
14,6.60%,63
15,3.90%,64.9
16,19.50%,62
17,19.70%,60.6
18,14.30%,66.3
19,19.90%,64.4
20,21.50%,65.4
21,7.40%,66.9
22,14.70%,62
23,10.20%,64
24,14.00%,62.5
25,14.20%,62.6
26,14.10%,62.3
27,10.80%,64.8
28,7.20%,63
29,12.90%,68.1
1,11.00%,66
2,18.70%,70.2
3,20.00%,64.2
4,12.20%,63.3
5,7.00%,61.7
6,10.30%,61.5
7,12.60%,64.1
8,15.70%,63.3
9,13.00%,64.1
10,18.90%,61.3
11,3.90%,62.2
12,3.80%,63.1
13,4.00%,62.5
14,12.00%,64
15,15.50%,64.4
16,14.50%,64
17,12.90%,65.8
18,23.80%,61.6
19,16.70%,62.1
20,5.30%,62.2
21,24.20%,64.9
22,7.20%,63
23,11.80%,65.1
24,22.70%,63.6
25,11.90%,64.8
26,9.90%,62.9
27,19.50%,64.3
28,15.30%,63.8
29,10.50%,65.3
30,20.00%,68
31,26.90%,69.1
32,13.30%,65
33,10.30%,61.7
34,15.60%,64.9
35,15.20%,65.2
36,15.10%,64.8
37,20.30%,65
38,17.80%,64.2
39,11.50%,66.7
40,12.70%,65.7
avg,13.46%,64.29
